college,age,player_height,player_weight,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct
Connecticut,22.821428571428573,199.94642857142858,98.36002085714286,55.214285714285715,7.485714285714286,3.2607142857142857,1.4892857142857143,-4.507142857142857,0.05971428571428571,0.142,0.1989642857142857,0.5075714285714286,0.1457142857142857
Coppin State,28.0,203.2,104.32616,70.0,4.3,2.4,0.7,5.8,0.089,0.115,0.161,0.512,0.079
Cornell,24.0,213.36,120.20188,4.0,1.0,1.5,0.0,0.6,0.04,0.147,0.0969999999999999,0.3329999999999999,0.0
Creighton,24.0,202.83714285714288,101.08621714285714,27.714285714285715,3.1571428571428575,1.342857142857143,0.39999999999999997,-0.7571428571428568,0.034,0.1108571428571428,0.18257142857142858,0.4551428571428571,0.06457142857142857
Davidson,22.5,194.31,90.7184,44.5,10.8,3.1,3.1,-2.75,0.0245,0.095,0.2,0.46249999999999997,0.136
Dayton,27.333333333333332,191.34666666666666,87.84565066666666,36.0,3.766666666666667,1.3666666666666665,1.4333333333333333,-8.133333333333333,0.0453333333333333,0.11766666666666666,0.17099999999999996,0.5053333333333333,0.19533333333333333
DePaul,26.083333333333332,199.6016666666667,101.56680866666666,47.416666666666664,6.733333333333333,2.5,1.55,-2.4166666666666665,0.06641666666666665,0.11924999999999997,0.19833333333333333,0.5198333333333334,0.11274999999999996
Delaware State,28.0,195.58,87.996848,13.0,5.0,1.7,2.0,6.6,0.011,0.098,0.144,0.565,0.191
Delta State,23.0,200.66,88.45044,6.0,1.3,0.3,0.0,-5.6,0.071,0.067,0.142,0.667,0.0
Detroit Mercy,29.0,196.85,91.77678133333335,25.5,3.466666666666667,1.25,0.9166666666666666,0.36666666666666653,0.031166666666666665,0.10716666666666665,0.18499999999999997,0.4206666666666667,0.12883333333333333
Drexel,22.0,200.66,113.398,54.0,3.0,3.0,0.6,1.3,0.1689999999999999,0.2189999999999999,0.161,0.515,0.089
Duke,22.25925925925926,200.18962962962962,99.64744251851852,52.2962962962963,7.92962962962963,3.4296296296296296,1.598148148148148,-3.062962962962963,0.055055555555555545,0.13383333333333333,0.18766666666666665,0.5079444444444444,0.1259259259259259
Duquesne,25.5,199.39,94.12034,8.5,1.4,1.45,0.65,-28.549999999999997,0.1035,0.17149999999999999,0.22499999999999998,0.228,0.153
East Carolina,28.0,201.93,107.274508,31.0,3.9,1.55,0.95,-4.8999999999999995,0.0195,0.05799999999999995,0.14300000000000002,0.236,0.07
Eastern Illinois,33.0,213.36,136.0776,26.0,4.0,2.3,0.6,-19.5,0.07,0.123,0.172,0.473,0.069
Eastern Michigan,26.25,189.23,85.275296,28.5,3.525,2.05,0.775,-1.35,0.08299999999999999,0.12749999999999997,0.19924999999999998,0.44325000000000003,0.15999999999999998
Eastern Washington,22.5,199.39,97.06868800000001,31.0,4.2,2.25,1.5999999999999999,10.850000000000001,0.044,0.1665,0.14550000000000002,0.44699999999999995,0.1745
Fairfield,24.0,205.74,113.398,2.0,0.0,0.0,0.0,-29.1,0.0,0.0,0.0,0.0,0.0
Fayetteville State,29.0,185.42,81.64656,67.0,6.1,1.1,2.6,0.3,0.039,0.05,0.222,0.525,0.308
Florida,23.44,201.87919999999997,99.84467104,50.36,5.664,3.0839999999999996,1.072,-7.524000000000001,0.06271999999999998,0.14107999999999998,0.17076,0.4982,0.08811999999999999
Florida A&M,23.0,215.9,136.0776,16.0,1.5,1.1,0.1,-20.5,0.118,0.268,0.3379999999999999,0.41,0.053
Florida International,23.0,191.77,92.079176,21.0,2.0,0.65,0.95,2.6999999999999997,0.017,0.064,0.15300000000000002,0.41200000000000003,0.16149999999999995
Florida State,23.761904761904763,200.17619047619047,98.0838700952381,41.142857142857146,5.238095238095238,2.1333333333333333,1.3428571428571427,-3.0999999999999996,0.04938095238095236,0.11819047619047618,0.18528571428571428,0.49019047619047623,0.11623809523809522
Fordham,22.0,193.04,81.64656,66.0,6.2,1.8,2.5,-9.6,0.0289999999999999,0.095,0.2019999999999999,0.523,0.239
Fresno State,23.4375,199.86625,96.4166495,29.1875,3.33125,1.8875,0.83125,-3.2125,0.041624999999999995,0.1253125,0.1575625,0.3865625,0.1179375
George Mason,24.0,187.96,83.91452,1.0,0.0,0.0,1.0,-158.3,0.0,0.0,0.125,0.0,0.5
George Washington,25.0,205.74,106.33492457142857,17.142857142857142,2.1142857142857143,2.257142857142857,0.37142857142857144,-4.442857142857143,0.08299999999999999,0.18214285714285713,0.13685714285714284,0.37785714285714284,0.04871428571428571
Georgetown,25.0,205.37600000000003,105.2015404,53.75,7.529999999999999,3.97,1.09,-1.8699999999999999,0.10579999999999998,0.15155,0.19295,0.52105,0.07779999999999998
Georgia,24.5,198.755,96.42609933333334,41.166666666666664,5.341666666666666,2.183333333333333,0.9166666666666666,-6.691666666666667,0.06458333333333333,0.11808333333333332,0.1980833333333333,0.4960833333333334,0.13516666666666663
Georgia Institute of Technology,20.0,193.04,96.161504,74.0,7.7,2.9,1.2,-1.0,0.021,0.098,0.148,0.492,0.068
Georgia Southern,28.0,195.58,95.25432,81.0,3.9,1.5,0.5,6.7,0.024,0.094,0.12,0.5920000000000001,0.062
Georgia State,22.0,195.58,83.91452,36.0,2.7,1.0,0.4,-3.5,0.006,0.131,0.155,0.48,0.068
Georgia Tech,24.833333333333332,199.136,98.76209813333334,49.36666666666667,6.316666666666666,2.5900000000000003,1.6233333333333335,-4.126666666666667,0.05559999999999999,0.1186,0.16776666666666665,0.4943,0.1256
Gonzaga,24.0,200.94222222222223,98.85785644444445,43.888888888888886,5.544444444444444,2.45,1.5666666666666667,-2.333333333333333,0.053499999999999985,0.12455555555555556,0.1668888888888889,0.47544444444444445,0.14366666666666666
Grand Canyon,23.0,210.82,129.27372,20.0,1.7,0.9,0.2,11.5,0.048,0.1369999999999999,0.19,0.539,0.0559999999999999
Hampton,30.5,204.47,107.04771199999999,24.5,1.7,1.65,0.3,-8.100000000000001,0.088,0.15449999999999994,0.15399999999999994,0.388,0.07299999999999995
Hartford,25.0,210.82,111.13004,78.0,21.0,10.3,2.7,-1.6,0.107,0.206,0.255,0.5529999999999999,0.12
Harvard,22.0,190.5,90.7184,29.0,2.6,1.2,1.4,2.5,0.043,0.0969999999999999,0.155,0.4579999999999999,0.207
Hawaii,26.0,191.76999999999998,94.12034,53.0,4.7,1.7,2.8,-4.0,0.035,0.08399999999999999,0.195,0.41700000000000004,0.24499999999999994
Hofstra,23.25,187.325,87.996848,32.5,3.925,1.1,1.625,9.125,0.02275,0.06175,0.14725,0.363,0.14749999999999996
Holy Cross,25.0,200.66,95.25432,15.0,2.5,1.0,0.2,2.7,0.031,0.09,0.114,0.638,0.034
